F,G,H,L,M,N,sigma0,k,n
0.2777,0.5277,0.4723,1.5,1.5,4.3643,287.52,659.44,0.288
0.137,0.2913,0.7087,1.5,1.5,2.1131,235.7,657.58,0.182
0.208,0.4359,0.5641,1.5,1.5,2.4398,179.89,500.41,0.216
0.2651,0.1924,0.8076,1.5,1.5,1.4014,147.2,382.64,0.177
0.1407,0.1761,0.8239,1.5,1.5,1.3283,141.8,517.88,0.196
0.2969,0.3149,0.6851,1.5,1.5,1.4112,145.67,469.34,0.275
0.4494,0.2593,0.7407,1.5,1.5,1.7025,121.24,688.02,0.24
0.1408,0.2177,0.7823,1.5,1.5,1.4749,214.08,533.68,0.207
0.4893,0.5504,0.4496,1.5,1.5,5.352,284.66,634.77,0.252
0.1219,0.5754,0.4246,1.5,1.5,3.7554,136.51,457.7,0.251
0.1976,0.166,0.834,1.5,1.5,1.7987,124.35,535.03,0.277
0.1326,0.2054,0.7946,1.5,1.5,1.647,129.51,306.28,0.206
0.5733,0.2071,0.7929,1.5,1.5,3.664,129.09,530.12,0.272
0.1415,0.2011,0.7989,1.5,1.5,1.0322,126.2,416.34,0.281
0.3735,0.4214,0.5786,1.5,1.5,1.6455,211.04,493.78,0.298
0.2659,0.2865,0.7135,1.5,1.5,1.9552,147.04,625.94,0.207
0.148,0.1899,0.8101,1.5,1.5,1.9351,263.32,694.17,0.257
0.3657,0.1458,0.8542,1.5,1.5,0.8505,157.93,492.2,0.27
0.3959,0.3043,0.6957,1.5,1.5,0.9594,239.18,688.14,0.287
0.1426,0.3524,0.6476,1.5,1.5,2.3187,190.65,511.03,0.19
0.192,0.2406,0.7594,1.5,1.5,1.8415,278.8,629.41,0.284
0.4435,0.1591,0.8409,1.5,1.5,3.1626,238.47,656.32,0.227
0.1235,0.2626,0.7374,1.5,1.5,1.0551,194.32,650.51,0.181
0.2107,0.2298,0.7702,1.5,1.5,1.4501,169.8,489.83,0.18
0.1804,0.1498,0.8502,1.5,1.5,0.5319,120.02,506.18,0.235
0.2469,0.2489,0.7511,1.5,1.5,2.5415,204.0,616.07,0.246
0.3852,0.4172,0.5828,1.5,1.5,3.1165,155.69,552.79,0.289
0.2985,0.2031,0.7969,1.5,1.5,3.0063,161.23,496.32,0.186
0.151,0.2138,0.7862,1.5,1.5,2.0184,215.62,502.37,0.25
0.1596,0.3812,0.6188,1.5,1.5,0.7562,125.56,584.39,0.238
0.1252,0.3715,0.6285,1.5,1.5,1.9881,216.02,491.32,0.2
0.1264,0.2681,0.7319,1.5,1.5,1.2867,129.67,672.95,0.25
0.1593,0.2641,0.7359,1.5,1.5,0.7854,136.05,355.45,0.212
0.1958,0.2728,0.7272,1.5,1.5,1.2413,158.76,673.05,0.277
0.1947,0.1678,0.8322,1.5,1.5,1.4189,293.79,613.45,0.265
0.3431,0.1529,0.8471,1.5,1.5,2.9729,184.6,551.0,0.184
0.3806,0.2784,0.7216,1.5,1.5,1.3687,285.97,696.1,0.299
0.1635,0.2884,0.7116,1.5,1.5,0.9859,130.75,300.36,0.282
0.1428,0.5173,0.4827,1.5,1.5,3.8721,134.76,309.23,0.271
0.1541,0.1653,0.8347,1.5,1.5,1.0921,148.13,623.62,0.243
0.2067,0.4666,0.5334,1.5,1.5,3.4409,225.77,485.38,0.243
0.2892,0.502,0.498,1.5,1.5,4.7235,141.73,442.69,0.168
0.2689,0.312,0.688,1.5,1.5,3.06,142.9,431.22,0.272
0.0946,0.5459,0.4541,1.5,1.5,3.2779,228.64,515.51,0.254
0.0703,0.618,0.382,1.5,1.5,2.7232,182.24,448.78,0.294
0.5662,0.157,0.843,1.5,1.5,2.5057,121.04,510.79,0.207
0.2296,0.1458,0.8542,1.5,1.5,1.0097,176.39,627.77,0.247
0.2386,0.2894,0.7106,1.5,1.5,0.7767,126.18,582.18,0.274
0.333,0.2714,0.7286,1.5,1.5,2.947,130.51,393.16,0.201
0.2381,0.2355,0.7645,1.5,1.5,1.1498,156.71,357.46,0.209
0.13,0.2372,0.7628,1.5,1.5,0.8678,212.94,542.77,0.211
0.1641,0.1701,0.8299,1.5,1.5,0.7569,186.4,695.47,0.211
0.4082,0.1645,0.8355,1.5,1.5,2.1446,226.93,494.13,0.254
1.2202,0.1763,0.8237,1.5,1.5,5.3517,169.78,464.39,0.3
0.1667,0.2864,0.7136,1.5,1.5,2.1693,260.35,622.33,0.259
0.162,0.3888,0.6112,1.5,1.5,1.2911,167.2,445.45,0.205
0.6109,0.1704,0.8296,1.5,1.5,3.8776,200.02,481.73,0.229
0.1479,0.202,0.798,1.5,1.5,0.7929,277.33,647.28,0.235
0.1339,0.245,0.755,1.5,1.5,0.9863,156.11,364.5,0.222
0.1401,0.2169,0.7831,1.5,1.5,1.3029,205.96,636.83,0.279
0.5914,0.191,0.809,1.5,1.5,2.4708,258.34,676.41,0.195
0.1194,0.5488,0.4512,1.5,1.5,1.5683,221.79,503.5,0.267
0.1511,0.1992,0.8008,1.5,1.5,2.2699,198.82,485.47,0.269
0.2215,0.2344,0.7656,1.5,1.5,1.156,183.86,476.16,0.238
0.1887,0.1651,0.8349,1.5,1.5,1.0467,254.17,532.83,0.256
0.1483,0.1821,0.8179,1.5,1.5,0.809,186.83,628.3,0.193
0.0853,0.489,0.511,1.5,1.5,1.3875,190.94,645.09,0.246
0.287,0.3277,0.6723,1.5,1.5,2.172,253.07,686.79,0.18
0.3762,0.1437,0.8563,1.5,1.5,0.7242,198.96,572.95,0.265
0.1983,0.3233,0.6767,1.5,1.5,2.0114,121.51,377.0,0.23
0.4338,0.2264,0.7736,1.5,1.5,2.7264,139.15,339.85,0.289
0.3702,0.3776,0.6224,1.5,1.5,1.2863,213.45,599.03,0.214
0.1702,0.4671,0.5329,1.5,1.5,1.6072,259.09,585.08,0.265
0.7673,0.2211,0.7789,1.5,1.5,1.8257,165.73,429.15,0.242
0.1453,0.1829,0.8171,1.5,1.5,2.0028,123.03,599.3,0.199
0.1871,0.502,0.498,1.5,1.5,2.6002,222.16,647.17,0.2
0.107,0.382,0.618,1.5,1.5,2.1357,270.68,649.89,0.244
0.2901,0.1603,0.8397,1.5,1.5,2.0704,180.19,430.59,0.275
0.2188,0.3175,0.6825,1.5,1.5,2.2626,188.74,517.03,0.223
1.1178,0.1438,0.8562,1.5,1.5,4.7662,120.87,499.86,0.208
0.0773,0.6075,0.3925,1.5,1.5,4.3849,193.03,463.24,0.248
0.2813,0.1519,0.8481,1.5,1.5,0.7646,155.26,570.58,0.257
0.2793,0.1782,0.8218,1.5,1.5,1.7243,222.29,597.16,0.264
0.1802,0.218,0.782,1.5,1.5,2.3838,191.82,407.5,0.19
0.1846,0.2722,0.7278,1.5,1.5,1.4452,183.93,480.63,0.298
0.1116,0.4378,0.5622,1.5,1.5,3.5075,150.6,633.43,0.235
0.2734,0.1433,0.8567,1.5,1.5,1.1279,132.66,472.17,0.212
0.1672,0.1977,0.8023,1.5,1.5,2.1426,220.89,606.07,0.256
0.3612,0.3476,0.6524,1.5,1.5,2.7049,240.12,638.72,0.199
0.3237,0.1456,0.8544,1.5,1.5,2.9954,246.43,665.88,0.23
0.379,0.2981,0.7019,1.5,1.5,0.8355,217.31,500.67,0.287
0.1316,0.2334,0.7666,1.5,1.5,1.1587,149.94,576.7,0.238
0.1812,0.2018,0.7982,1.5,1.5,2.1618,182.47,483.7,0.24
0.1715,0.3365,0.6635,1.5,1.5,2.6082,160.31,384.52,0.256
0.2296,0.2535,0.7465,1.5,1.5,2.9721,123.63,336.99,0.259
0.2035,0.3271,0.6729,1.5,1.5,2.0741,163.13,589.51,0.255
0.5566,0.533,0.467,1.5,1.5,3.4933,173.36,411.57,0.196
0.5467,0.1761,0.8239,1.5,1.5,3.7651,133.46,649.23,0.176
0.3001,0.2042,0.7958,1.5,1.5,2.8011,122.45,319.34,0.188
0.2822,0.2025,0.7975,1.5,1.5,1.3892,159.56,337.71,0.248
0.2264,0.2291,0.7709,1.5,1.5,2.4704,177.95,580.98,0.163
0.1377,0.2313,0.7687,1.5,1.5,0.676,220.99,513.48,0.278
0.2214,0.1552,0.8448,1.5,1.5,1.9396,133.48,491.82,0.172
0.1525,0.32,0.68,1.5,1.5,3.0507,130.75,694.05,0.184
0.1252,0.2549,0.7451,1.5,1.5,0.4911,141.31,403.54,0.209
0.1689,0.3327,0.6673,1.5,1.5,2.3213,172.64,688.41,0.18
0.17,0.1603,0.8397,1.5,1.5,2.0722,169.6,536.47,0.22
0.4711,0.1562,0.8438,1.5,1.5,1.9027,262.12,699.28,0.26
0.4294,0.2198,0.7802,1.5,1.5,2.2125,130.45,416.02,0.186
0.1816,0.2098,0.7902,1.5,1.5,0.8697,186.97,622.44,0.198
0.1955,0.1883,0.8117,1.5,1.5,1.5802,181.55,608.73,0.299
0.1447,0.1892,0.8108,1.5,1.5,1.8453,122.7,570.25,0.298
0.256,0.2781,0.7219,1.5,1.5,2.6977,235.47,576.4,0.205
0.8373,0.1903,0.8097,1.5,1.5,2.3944,160.43,672.68,0.232
0.2235,0.2167,0.7833,1.5,1.5,1.7558,279.6,694.25,0.295
0.2846,0.1459,0.8541,1.5,1.5,0.7405,132.76,513.6,0.23
0.2916,0.2419,0.7581,1.5,1.5,2.3201,152.3,514.93,0.232
0.2128,0.1621,0.8379,1.5,1.5,1.7994,255.98,600.05,0.237
0.3608,0.1618,0.8382,1.5,1.5,1.8579,219.11,538.53,0.292
0.2609,0.49,0.51,1.5,1.5,3.0304,291.19,638.85,0.285
0.3489,0.1794,0.8206,1.5,1.5,2.6584,214.11,443.13,0.238
0.3315,0.1548,0.8452,1.5,1.5,2.9189,135.41,336.39,0.255
0.2054,0.2293,0.7707,1.5,1.5,1.8871,206.93,510.63,0.206
0.1543,0.1767,0.8233,1.5,1.5,1.2706,154.82,595.73,0.192
0.4524,0.4924,0.5076,1.5,1.5,6.077,153.0,611.38,0.179
0.7353,0.2375,0.7625,1.5,1.5,1.7394,121.94,304.36,0.286
0.1462,0.1527,0.8473,1.5,1.5,0.9596,139.73,474.75,0.182
0.1768,0.2772,0.7228,1.5,1.5,2.0059,254.77,526.34,0.282
0.2488,0.261,0.739,1.5,1.5,1.7498,153.98,411.89,0.197
0.1644,0.2177,0.7823,1.5,1.5,0.9516,178.71,632.95,0.291
0.2193,0.2155,0.7845,1.5,1.5,2.3883,167.99,645.92,0.271
0.6991,0.28,0.72,1.5,1.5,2.9126,183.31,447.76,0.213
0.3714,0.597,0.403,1.5,1.5,5.5491,213.59,689.99,0.179
0.3142,0.1979,0.8021,1.5,1.5,1.1982,145.26,627.18,0.269
0.5401,0.4264,0.5736,1.5,1.5,4.9031,252.83,668.62,0.265
0.1376,0.2216,0.7784,1.5,1.5,1.5511,177.86,492.13,0.265
1.0923,0.2911,0.7089,1.5,1.5,3.5401,228.24,634.44,0.209
0.3906,0.2329,0.7671,1.5,1.5,3.9042,146.72,597.77,0.216
0.5061,0.5005,0.4995,1.5,1.5,3.5945,145.54,578.31,0.199
0.4159,0.2149,0.7851,1.5,1.5,1.2324,215.55,611.04,0.296
0.5567,0.5797,0.4203,1.5,1.5,3.1932,141.5,471.65,0.191
0.2639,0.1814,0.8186,1.5,1.5,0.9222,143.55,497.53,0.21
0.1642,0.263,0.737,1.5,1.5,2.7568,120.52,477.56,0.212
0.1162,0.4327,0.5673,1.5,1.5,1.3202,265.64,633.7,0.232
0.164,0.2665,0.7335,1.5,1.5,0.7551,193.58,698.56,0.216
0.9294,0.289,0.711,1.5,1.5,2.8962,150.24,547.05,0.208
0.1425,0.3348,0.6652,1.5,1.5,1.3813,192.06,467.65,0.267
0.1963,0.1631,0.8369,1.5,1.5,1.7098,228.96,541.11,0.204
0.8161,0.321,0.679,1.5,1.5,6.6338,223.85,677.01,0.275
0.2515,0.3628,0.6372,1.5,1.5,3.6783,168.03,539.56,0.241
0.2498,0.2939,0.7061,1.5,1.5,1.944,226.29,658.6,0.185
0.1061,0.478,0.522,1.5,1.5,2.5158,135.23,398.32,0.27
0.1586,0.2357,0.7643,1.5,1.5,2.5227,208.69,475.88,0.268
0.1826,0.1512,0.8488,1.5,1.5,2.0394,141.29,308.46,0.291
0.327,0.1461,0.8539,1.5,1.5,1.63,259.21,532.27,0.29
0.3944,0.2103,0.7897,1.5,1.5,1.521,278.38,674.65,0.223
0.1708,0.1652,0.8348,1.5,1.5,1.0853,246.03,614.64,0.208
0.1459,0.4119,0.5881,1.5,1.5,3.6112,128.37,649.12,0.295
0.1166,0.5333,0.4667,1.5,1.5,1.4643,275.58,664.25,0.261
0.1047,0.4502,0.5498,1.5,1.5,2.1797,167.66,407.25,0.268
0.1249,0.4769,0.5231,1.5,1.5,1.5224,207.84,530.71,0.28
0.4082,0.1856,0.8144,1.5,1.5,1.6003,170.21,450.86,0.201
0.3252,0.35,0.65,1.5,1.5,2.8242,254.08,655.83,0.288
0.3077,0.2342,0.7658,1.5,1.5,2.064,214.25,552.23,0.26
0.3236,0.144,0.856,1.5,1.5,2.0216,176.08,662.67,0.26
0.2373,0.1996,0.8004,1.5,1.5,1.545,162.23,628.41,0.189
0.1398,0.1763,0.8237,1.5,1.5,1.1467,162.64,366.02,0.268
0.1989,0.1564,0.8436,1.5,1.5,2.0618,159.81,371.32,0.241
0.5311,0.2065,0.7935,1.5,1.5,3.5296,167.08,453.31,0.267
1.0444,0.1676,0.8324,1.5,1.5,6.6091,224.95,694.64,0.3
0.1221,0.4919,0.5081,1.5,1.5,3.5784,150.12,533.74,0.203
0.1909,0.1449,0.8551,1.5,1.5,0.8031,133.51,651.44,0.233
0.1385,0.485,0.515,1.5,1.5,3.7877,153.45,546.02,0.245
0.1244,0.2894,0.7106,1.5,1.5,2.5466,218.95,538.78,0.245
0.095,0.579,0.421,1.5,1.5,4.0145,271.25,645.95,0.277
0.8699,0.1736,0.8264,1.5,1.5,4.2042,134.03,478.18,0.228
0.1268,0.2738,0.7262,1.5,1.5,0.6903,154.89,416.27,0.215
0.1603,0.226,0.774,1.5,1.5,2.2835,279.95,581.68,0.184
0.7099,0.158,0.842,1.5,1.5,3.8337,128.14,318.1,0.199
0.1997,0.3326,0.6674,1.5,1.5,2.2747,243.26,580.51,0.203
0.5768,0.3257,0.6743,1.5,1.5,5.7671,159.62,668.09,0.27
0.168,0.2467,0.7533,1.5,1.5,1.2435,127.62,292.98,0.236
0.3383,0.2232,0.7768,1.5,1.5,2.264,270.09,668.86,0.259
0.1488,0.1797,0.8203,1.5,1.5,0.6475,265.82,662.31,0.23
0.2148,0.1565,0.8435,1.5,1.5,0.7949,143.76,675.11,0.254
0.3751,0.2735,0.7265,1.5,1.5,2.6708,229.66,638.78,0.256
0.3034,0.4724,0.5276,1.5,1.5,3.3506,202.62,669.13,0.291
0.2824,0.198,0.802,1.5,1.5,1.8893,245.34,689.09,0.233
0.1283,0.2828,0.7172,1.5,1.5,2.5722,122.51,420.86,0.164
0.221,0.5461,0.4539,1.5,1.5,1.4989,198.42,626.1,0.198
0.1202,0.3172,0.6828,1.5,1.5,2.1036,289.99,636.35,0.235
0.2264,0.2284,0.7716,1.5,1.5,2.6455,261.31,539.43,0.24
0.4221,0.2048,0.7952,1.5,1.5,1.2757,122.05,528.86,0.19
0.2354,0.2056,0.7944,1.5,1.5,2.7814,162.99,457.47,0.18
0.215,0.1669,0.8331,1.5,1.5,1.8957,230.74,631.41,0.278
0.1555,0.1513,0.8487,1.5,1.5,0.568,181.11,489.74,0.262
0.1194,0.3301,0.6699,1.5,1.5,1.6307,184.95,386.9,0.273
0.2815,0.4719,0.5281,1.5,1.5,1.8647,203.09,678.34,0.205
0.2402,0.2746,0.7254,1.5,1.5,1.0579,248.04,575.41,0.261
0.1468,0.3321,0.6679,1.5,1.5,1.9956,160.13,403.47,0.248
0.0775,0.5774,0.4226,1.5,1.5,3.6505,135.28,666.27,0.242
0.4101,0.5841,0.4159,1.5,1.5,4.3002,131.1,524.05,0.226
0.1814,0.5094,0.4906,1.5,1.5,1.9109,143.6,586.77,0.239
0.452,0.1743,0.8257,1.5,1.5,3.4537,291.12,620.37,0.222
0.1728,0.1778,0.8222,1.5,1.5,1.782,225.91,555.31,0.294
0.2071,0.3065,0.6935,1.5,1.5,2.7403,127.01,322.23,0.198
0.1975,0.1465,0.8535,1.5,1.5,1.9805,279.82,562.04,0.191
0.1675,0.5945,0.4055,1.5,1.5,4.7016,134.01,288.38,0.218
0.3118,0.1446,0.8554,1.5,1.5,1.2009,147.03,470.55,0.245
0.2818,0.1517,0.8483,1.5,1.5,1.1159,132.24,434.78,0.229
0.204,0.1564,0.8436,1.5,1.5,1.6125,290.55,677.04,0.23
0.1383,0.2679,0.7321,1.5,1.5,1.9247,212.88,663.35,0.255
0.134,0.4039,0.5961,1.5,1.5,2.693,223.33,671.67,0.299
0.3881,0.2122,0.7878,1.5,1.5,2.9961,228.08,579.4,0.268
0.106,0.404,0.596,1.5,1.5,2.9991,160.05,454.23,0.257
0.1477,0.1698,0.8302,1.5,1.5,0.6015,166.8,573.85,0.245
0.1156,0.3406,0.6594,1.5,1.5,0.5206,125.06,465.1,0.232
0.5386,0.4474,0.5526,1.5,1.5,3.5368,189.49,457.59,0.258
0.1078,0.4119,0.5881,1.5,1.5,1.754,277.53,664.17,0.222
0.1199,0.2848,0.7152,1.5,1.5,2.4569,279.7,681.7,0.267
0.1649,0.2501,0.7499,1.5,1.5,2.5279,251.38,686.79,0.299
0.1598,0.2575,0.7425,1.5,1.5,2.7071,277.35,584.86,0.205
0.2906,0.411,0.589,1.5,1.5,4.1555,228.46,495.59,0.248
0.1281,0.2372,0.7628,1.5,1.5,1.1155,158.34,342.9,0.286
0.1439,0.1708,0.8292,1.5,1.5,1.0186,204.57,634.45,0.258
0.3772,0.1713,0.8287,1.5,1.5,2.7359,218.69,573.11,0.173
0.0838,0.5838,0.4162,1.5,1.5,3.6648,242.43,545.4,0.246
0.2574,0.2047,0.7953,1.5,1.5,1.6911,173.09,616.47,0.296
0.5782,0.2015,0.7985,1.5,1.5,3.3636,135.37,372.29,0.231
0.1492,0.2711,0.7289,1.5,1.5,1.6315,123.91,684.87,0.218
0.2387,0.3099,0.6901,1.5,1.5,1.1537,204.18,576.5,0.195
0.1358,0.2227,0.7773,1.5,1.5,1.6191,193.84,530.32,0.298
0.1581,0.4421,0.5579,1.5,1.5,0.7526,219.36,583.06,0.254
0.2539,0.146,0.854,1.5,1.5,2.0376,124.18,294.75,0.236
0.148,0.3,0.7,1.5,1.5,2.6155,286.24,588.76,0.264
0.1667,0.2922,0.7078,1.5,1.5,2.2184,160.52,386.62,0.251
0.2172,0.1608,0.8392,1.5,1.5,0.9545,235.41,626.46,0.239
0.1591,0.5559,0.4441,1.5,1.5,2.6396,174.21,487.97,0.216
0.1077,0.5003,0.4997,1.5,1.5,3.7588,226.38,521.32,0.3
0.1575,0.157,0.843,1.5,1.5,1.2755,239.3,608.49,0.23
0.3063,0.1758,0.8242,1.5,1.5,0.5467,184.55,501.94,0.231
0.7897,0.3935,0.6065,1.5,1.5,2.2729,129.88,603.42,0.228
0.2411,0.1563,0.8437,1.5,1.5,0.9077,141.56,655.19,0.259
0.1828,0.2264,0.7736,1.5,1.5,1.6472,227.43,586.76,0.199
0.2114,0.1799,0.8201,1.5,1.5,2.0621,164.34,543.11,0.187
0.3822,0.3028,0.6972,1.5,1.5,1.031,121.85,651.73,0.236
0.178,0.5097,0.4903,1.5,1.5,3.4448,151.37,653.48,0.173
0.2606,0.1612,0.8388,1.5,1.5,1.8519,202.55,473.83,0.276
0.6616,0.2286,0.7714,1.5,1.5,4.3103,265.57,683.62,0.273
0.1609,0.1622,0.8378,1.5,1.5,0.5663,138.31,539.8,0.283
0.2004,0.1539,0.8461,1.5,1.5,2.0594,128.91,474.07,0.212
0.1642,0.2866,0.7134,1.5,1.5,2.2123,168.3,447.51,0.276
0.1087,0.3909,0.6091,1.5,1.5,2.8629,147.4,422.77,0.239
0.2377,0.2487,0.7513,1.5,1.5,1.1357,147.61,353.44,0.234
0.248,0.1739,0.8261,1.5,1.5,1.5053,236.5,495.63,0.223
0.1245,0.4246,0.5754,1.5,1.5,3.4823,264.51,618.6,0.25
0.2307,0.212,0.788,1.5,1.5,2.2118,141.38,604.91,0.243
0.2859,0.3079,0.6921,1.5,1.5,3.2562,152.06,392.99,0.201
0.2018,0.1931,0.8069,1.5,1.5,1.6038,242.54,601.14,0.212
0.2031,0.2695,0.7305,1.5,1.5,2.3054,130.33,516.19,0.186
0.1743,0.1885,0.8115,1.5,1.5,0.6602,182.25,454.78,0.205
0.1673,0.2084,0.7916,1.5,1.5,2.2394,258.41,629.22,0.291
0.4584,0.1899,0.8101,1.5,1.5,4.0621,167.86,616.8,0.203
0.2042,0.542,0.458,1.5,1.5,2.155,132.39,435.27,0.205
0.1432,0.2308,0.7692,1.5,1.5,1.9688,236.63,681.56,0.276
0.1813,0.2245,0.7755,1.5,1.5,1.3181,168.91,574.86,0.283
0.1615,0.2698,0.7302,1.5,1.5,0.9,235.87,585.72,0.213
0.5672,0.1679,0.8321,1.5,1.5,4.6261,140.81,366.9,0.252
0.1817,0.1685,0.8315,1.5,1.5,0.4273,190.54,634.42,0.262
0.1208,0.4943,0.5057,1.5,1.5,0.9129,164.69,578.62,0.203
0.1721,0.1879,0.8121,1.5,1.5,1.1769,206.94,685.59,0.179
0.126,0.353,0.647,1.5,1.5,0.5714,157.4,659.25,0.236
0.1064,0.387,0.613,1.5,1.5,3.1822,168.18,350.95,0.297
0.2132,0.1529,0.8471,1.5,1.5,1.7131,144.02,315.11,0.204
1.1186,0.2214,0.7786,1.5,1.5,3.7428,174.75,534.32,0.235
0.4256,0.5872,0.4128,1.5,1.5,3.6905,180.28,579.18,0.174
0.3481,0.3731,0.6269,1.5,1.5,0.9938,181.75,508.69,0.284
1.0577,0.2554,0.7446,1.5,1.5,8.0138,218.32,640.88,0.19
0.1852,0.2753,0.7247,1.5,1.5,0.5134,243.78,682.7,0.217
0.1921,0.1594,0.8406,1.5,1.5,0.8822,219.64,527.79,0.261
0.0966,0.6064,0.3936,1.5,1.5,4.4052,126.35,331.39,0.276
0.5385,0.1503,0.8497,1.5,1.5,1.423,124.78,549.22,0.255
0.1994,0.3535,0.6465,1.5,1.5,3.5822,134.63,298.08,0.248
0.1093,0.3864,0.6136,1.5,1.5,3.0552,131.88,620.85,0.282
0.26,0.1614,0.8386,1.5,1.5,2.0503,281.66,589.82,0.192
0.1997,0.4006,0.5994,1.5,1.5,2.756,131.7,466.86,0.175
0.2535,0.1905,0.8095,1.5,1.5,0.6585,230.08,600.29,0.248
0.1131,0.4252,0.5748,1.5,1.5,2.9326,171.52,544.77,0.176
0.2459,0.16,0.84,1.5,1.5,2.5573,166.93,680.29,0.253
0.1803,0.4337,0.5663,1.5,1.5,1.584,162.91,679.8,0.252
0.1017,0.4333,0.5667,1.5,1.5,1.5563,262.29,674.43,0.245
0.1365,0.2009,0.7991,1.5,1.5,1.9345,208.96,454.87,0.248
0.1014,0.3997,0.6003,1.5,1.5,2.8524,201.48,691.11,0.299
0.1356,0.4019,0.5981,1.5,1.5,1.4642,210.77,645.79,0.19
0.2608,0.3318,0.6682,1.5,1.5,2.4285,145.68,304.17,0.25
0.1635,0.374,0.626,1.5,1.5,0.7552,130.49,505.95,0.248
0.1417,0.2274,0.7726,1.5,1.5,1.7667,210.82,525.16,0.244
0.156,0.2146,0.7854,1.5,1.5,0.6415,133.58,334.28,0.217
0.2837,0.1488,0.8512,1.5,1.5,2.5227,212.24,590.58,0.267
0.1694,0.3722,0.6278,1.5,1.5,2.927,248.76,581.41,0.253
0.2001,0.4693,0.5307,1.5,1.5,3.6243,184.79,495.15,0.273
0.2024,0.2048,0.7952,1.5,1.5,2.0396,133.21,572.41,0.217
0.2394,0.1541,0.8459,1.5,1.5,1.703,181.25,540.08,0.201
0.2355,0.2643,0.7357,1.5,1.5,1.6894,275.15,602.57,0.297
0.093,0.6064,0.3936,1.5,1.5,4.457,189.71,615.09,0.205
0.1607,0.2943,0.7057,1.5,1.5,1.9251,195.66,644.17,0.198
0.1394,0.2278,0.7722,1.5,1.5,0.5266,152.16,526.69,0.274
0.2346,0.1976,0.8024,1.5,1.5,2.7841,261.43,559.8,0.199
0.2962,0.498,0.502,1.5,1.5,5.1565,240.75,533.55,0.287
0.1612,0.1822,0.8178,1.5,1.5,1.4041,155.04,632.01,0.205
0.138,0.3156,0.6844,1.5,1.5,2.4546,131.41,696.83,0.3
0.1067,0.4024,0.5976,1.5,1.5,2.9107,256.05,597.04,0.276
0.5924,0.199,0.801,1.5,1.5,0.9292,122.94,474.67,0.252
0.1463,0.367,0.633,1.5,1.5,0.9197,121.35,469.58,0.198
0.2703,0.412,0.588,1.5,1.5,2.1788,249.65,557.6,0.239
0.5764,0.2472,0.7528,1.5,1.5,4.7597,246.29,609.15,0.264
0.2525,0.1711,0.8289,1.5,1.5,0.6621,175.21,506.86,0.239
0.1297,0.2518,0.7482,1.5,1.5,2.3561,270.71,685.83,0.259
0.1905,0.2883,0.7117,1.5,1.5,0.5415,124.27,612.22,0.202
0.2015,0.3106,0.6894,1.5,1.5,3.2774,144.46,682.02,0.247
0.0874,0.5945,0.4055,1.5,1.5,4.0889,227.1,494.55,0.283
0.2625,0.2572,0.7428,1.5,1.5,0.9734,134.48,408.35,0.276
0.3842,0.1877,0.8123,1.5,1.5,0.6475,129.97,449.26,0.233
0.3972,0.3061,0.6939,1.5,1.5,2.8596,254.61,641.24,0.23
0.1538,0.2446,0.7554,1.5,1.5,0.9138,122.91,455.43,0.182
0.1493,0.1938,0.8062,1.5,1.5,1.7574,132.58,355.54,0.27
0.1896,0.243,0.757,1.5,1.5,0.603,214.89,545.5,0.221
0.8861,0.1432,0.8568,1.5,1.5,4.2868,242.15,605.32,0.242
0.3021,0.1514,0.8486,1.5,1.5,0.6399,234.3,535.84,0.279
0.2362,0.1476,0.8524,1.5,1.5,1.0204,168.17,567.3,0.259
0.1437,0.3852,0.6148,1.5,1.5,3.4155,120.83,429.22,0.281
0.1625,0.1581,0.8419,1.5,1.5,1.2989,224.76,679.84,0.191
0.1517,0.3279,0.6721,1.5,1.5,1.8263,238.68,603.59,0.223
1.0033,0.2807,0.7193,1.5,1.5,2.7052,169.16,640.1,0.198
0.36,0.155,0.845,1.5,1.5,0.5675,232.38,637.93,0.243
0.1472,0.2382,0.7618,1.5,1.5,0.8866,161.07,391.05,0.26
0.2675,0.2089,0.7911,1.5,1.5,2.2146,172.39,546.15,0.162
0.4587,0.2073,0.7927,1.5,1.5,2.2286,294.64,674.75,0.248
0.1952,0.1913,0.8087,1.5,1.5,1.3776,224.58,528.62,0.196
0.2147,0.1497,0.8503,1.5,1.5,0.8094,214.18,542.92,0.22
0.1268,0.3609,0.6391,1.5,1.5,1.3763,174.43,412.35,0.266
0.1633,0.3372,0.6628,1.5,1.5,0.7316,128.42,535.74,0.242
0.2823,0.2228,0.7772,1.5,1.5,2.2572,292.65,618.38,0.205
1.0123,0.2124,0.7876,1.5,1.5,7.3166,144.73,400.97,0.265
0.212,0.1658,0.8342,1.5,1.5,2.3207,177.88,653.55,0.195
0.1589,0.2201,0.7799,1.5,1.5,2.4566,177.4,647.91,0.285
0.2511,0.2144,0.7856,1.5,1.5,1.5331,132.44,341.91,0.184
0.4142,0.1844,0.8156,1.5,1.5,3.3001,241.46,566.76,0.18
0.1814,0.2614,0.7386,1.5,1.5,1.6248,206.91,457.49,0.296
0.1914,0.2026,0.7974,1.5,1.5,1.901,145.93,472.72,0.268
0.6383,0.1754,0.8246,1.5,1.5,3.3147,216.82,644.98,0.25
0.3924,0.1512,0.8488,1.5,1.5,2.1054,164.39,555.98,0.265
0.3032,0.2389,0.7611,1.5,1.5,3.3893,148.21,661.87,0.228
